Организация отдыха,Период заезда,Количество обращений,Количество страховых случаев
Оздоровительный комплекс ЗВЕЗДНЫЙ,28.12.2019 - 11.01.2020,6,6
ООО «Санаторий «Соловушка»(обособка),23.06.2019 - 13.07.2019,6,0
Санаторий для детей с родителями «Кратово» ,23.03.2019 - 07.04.2019,6,6
Федеральное государственное бюджетное учреждение Детский оздоровительный пансионат Россия Управления делами Президента Российской Федерации (обособка),04.08.2019 - 24.08.2019,6,6
"Центр восстановительной терапии для воинов-интернационалистов им. М. А. Лиходея, Санаторий Русь ( обособка)",31.05.2019 - 20.06.2019,6,3
Детский оздоровительно-образовательный центр Родник,23.06.2019 - 13.07.2019,5,2
Детский оздоровительный комплекс Спутник,09.08.2019 - 29.08.2019,5,0
ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС БЕРЕЗОВАЯ РОЩА ,01.06.2019 - 21.06.2019,5,0
ООО «Санаторий «Соловушка»(обособка),15.07.2019 - 04.08.2019,5,1
ООО Детский оздоровительный лагерь круглогодичного действия Зори Анапы,01.06.2019 - 21.06.2019,5,0
"Центр восстановительной терапии для воинов-интернационалистов им. М. А. Лиходея, Санаторий Русь ( обособка)",12.07.2019 - 01.08.2019,5,5
Детский оздоровительный пансионат Россия,04.08.2019 - 24.08.2019,4,0
Детский реабилитационно-оздоровительный центр Жемчужина,08.08.2019 - 28.08.2019,4,0
Детский санаторий Затишье ,17.07.2019 - 06.08.2019,4,2
Детский санаторий им. Н.К. Крупской,16.07.2019 - 05.08.2019,4,2
ООО Детский оздоровительный лагерь круглогодичного действия Зори Анапы,05.08.2019 - 25.08.2019,4,0
Федеральное государственное бюджетное учреждение «Санаторий для детей с родителями «Кратово» Министерства здравоохранения Российской Федерации( обособка),08.06.2019 - 28.06.2019,4,4
Федеральное государственное бюджетное учреждение «Санаторий для детей с родителями «Кратово» Министерства здравоохранения Российской Федерации( обособка),10.08.2019 - 30.08.2019,4,0
Детский лагерь Эволюция,07.10.2019 - 20.10.2019,3,1
Детский оздоровительный лагерь круглогодичного действия Ока (Обособка),14.07.2019 - 04.08.2019,3,0
Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка),23.06.2019 - 13.07.2019,3,3
ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС БЕРЕЗОВАЯ РОЩА ,22.06.2019 - 12.07.2019,3,0
ООО Детский оздоровительный лагерь круглогодичного действия Зори Анапы,14.07.2019 - 04.08.2019,3,3
Санаторий Заклязьменский,29.12.2018 - 08.01.2019,3,0
Филиал Центральный Военный Детский санаторий Федерального Государственного Бюджетного учреждения Санаторно-курортный комплекс Северокавказский  Министерства обороны Российской Федерации (Обособка),21.11.2019 - 01.12.2019,3,2
Детский лагерь Эволюция,21.11.2019 - 01.12.2019,2,2
Детский оздоровительный лагерь Прибрежный,24.07.2019 - 02.08.2019,2,0
Детский оздоровительный пансионат Россия,24.06.2019 - 12.07.2019,2,2
Детский оздоровительный центр Звездочка (обособка),27.12.2019 - 10.01.2020,2,2
Детский санаторий им. Н.К. Крупской,25.06.2019 - 15.07.2019,2,0
Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка),02.06.2019 - 22.06.2019,2,2
